c Problem SAT 8+211
27 -152 -153 0
-27 152 -153 0
-27 -152 153 0
27 152 -154 0
27 -152 154 0
-27 152 154 0
-27 -152 -154 0
151 153 -155 0
151 -153 155 0
-151 153 155 0
-151 -153 -155 0
42 56 -156 0
42 -56 -156 0
-42 56 -156 0
-42 -56 156 0
42 56 -157 0
42 -56 157 0
-42 56 157 0
-42 -56 -157 0
28 157 -158 0
28 -157 -158 0
-28 157 -158 0
-28 -157 158 0
28 157 -159 0
28 -157 159 0
-28 157 159 0
-28 -157 -159 0
156 158 -160 0
156 -158 160 0
-156 158 160 0
-156 -158 -160 0
43 57 -161 0
43 -57 -161 0
-43 57 -161 0
-43 -57 161 0
43 57 -162 0
43 -57 162 0
-43 57 162 0
-43 -57 -162 0
29 162 -163 0
29 -162 -163 0
-29 162 -163 0
-29 -162 163 0
29 162 -164 0
29 -162 164 0
-29 162 164 0
-29 -162 -164 0
161 163 -165 0
161 -163 165 0
-161 163 165 0
-161 -163 -165 0
44 58 -166 0
44 -58 -166 0
-44 58 -166 0
-44 -58 166 0
44 58 -167 0
44 -58 167 0
-44 58 167 0
-44 -58 -167 0
30 167 -168 0
30 -167 -168 0
-30 167 -168 0
-30 -167 168 0
30 167 -169 0
30 -167 169 0
-30 167 169 0
-30 -167 -169 0
166 168 -170 0
166 -168 170 0
-166 168 170 0
-166 -168 -170 0
45 59 -171 0
45 -59 -171 0
-45 59 -171 0
-45 -59 171 0
45 59 -172 0
45 -59 172 0
-45 59 172 0
-45 -59 -172 0
31 172 -173 0
31 -172 -173 0
-31 172 -173 0
-31 -172 173 0
31 172 -174 0
31 -172 174 0
-31 172 174 0
-31 -172 -174 0
171 173 -175 0
171 -173 175 0
-171 173 175 0
-171 -173 -175 0
46 60 -176 0
46 -60 -176 0
-46 60 -176 0
-46 -60 176 0
46 60 -177 0
46 -60 177 0
-46 60 177 0
-46 -60 -177 0
32 177 -178 0
32 -177 -178 0
-32 177 -178 0
-32 -177 178 0
32 177 -179 0
32 -177 179 0
-32 177 179 0
-32 -177 -179 0
176 178 -180 0
176 -178 180 0
-176 178 180 0
-176 -178 -180 0
47 61 -181 0
47 -61 -181 0
-47 61 -181 0
-47 -61 181 0
47 61 -182 0
47 -61 182 0
-47 61 182 0
-47 -61 -182 0
33 182 -183 0
33 -182 -183 0
-33 182 -183 0
-33 -182 183 0
33 182 -184 0
33 -182 184 0
-33 182 184 0
-33 -182 -184 0
181 183 -185 0
181 -183 185 0
-181 183 185 0
-181 -183 -185 0
48 62 -186 0
48 -62 -186 0
-48 62 -186 0
-48 -62 186 0
48 62 -187 0
48 -62 187 0
-48 62 187 0
-48 -62 -187 0
34 187 -188 0
34 -187 -188 0
-34 187 -188 0
-34 -187 188 0
34 187 -189 0
34 -187 189 0
-34 187 189 0
-34 -187 -189 0
186 188 -190 0
186 -188 190 0
-186 188 190 0
-186 -188 -190 0
49 63 -191 0
49 -63 -191 0
-49 63 -191 0
-49 -63 191 0
49 63 -192 0
49 -63 192 0
-49 63 192 0
-49 -63 -192 0
35 192 -193 0
35 -192 -193 0
-35 192 -193 0
-35 -192 193 0
35 192 -194 0
35 -192 194 0
-35 192 194 0
-35 -192 -194 0
191 193 -195 0
191 -193 195 0
-191 193 195 0
-191 -193 -195 0
50 64 -196 0
50 -64 -196 0
-50 64 -196 0
-50 -64 196 0
50 64 -197 0
50 -64 197 0
-50 64 197 0
-50 -64 -197 0
36 197 -198 0
36 -197 -198 0
-36 197 -198 0
-36 -197 198 0
36 197 -199 0
36 -197 199 0
-36 197 199 0
-36 -197 -199 0
196 198 -200 0
196 -198 200 0
-196 198 200 0
-196 -198 -200 0
51 65 -201 0
51 -65 -201 0
-51 65 -201 0
-51 -65 201 0
51 65 -202 0
51 -65 202 0
-51 65 202 0
-51 -65 -202 0
37 202 -203 0
37 -202 -203 0
-37 202 -203 0
-37 -202 203 0
37 202 -204 0
37 -202 204 0
-37 202 204 0
-37 -202 -204 0
201 203 -205 0
201 -203 205 0
-201 203 205 0
-201 -203 -205 0
52 66 -206 0
52 -66 -206 0
-52 66 -206 0
-52 -66 206 0
52 66 -207 0
52 -66 207 0
-52 66 207 0
-52 -66 -207 0
38 207 -208 0
38 -207 -208 0
-38 207 -208 0
-38 -207 208 0
38 207 -209 0
38 -207 209 0
-38 207 209 0
-38 -207 -209 0
206 208 -210 0
206 -208 210 0
-206 208 210 0
-206 -208 -210 0
53 67 -211 0
53 -67 -211 0
-53 67 -211 0
-53 -67 211 0
53 67 -212 0
53 -67 212 0
-53 67 212 0
-53 -67 -212 0
70 84 -213 0
70 -84 -213 0
-70 84 -213 0
-70 -84 213 0
70 84 -214 0
70 -84 214 0
-70 84 214 0
-70 -84 -214 0
85 99 -215 0
85 -99 -215 0
-85 99 -215 0
-85 -99 215 0
85 99 -216 0
85 -99 216 0
-85 99 216 0
-85 -99 -216 0
71 216 -217 0
71 -216 -217 0
-71 216 -217 0
-71 -216 217 0
71 216 -218 0
71 -216 218 0
-71 216 218 0
-71 -216 -218 0
215 217 -219 0
215 -217 219 0
-215 217 219 0
-215 -217 -219 0
86 100 -220 0
86 -100 -220 0
-86 100 -220 0
-86 -100 220 0
86 100 -221 0
86 -100 221 0
-86 100 221 0
-86 -100 -221 0
72 221 -222 0
72 -221 -222 0
-72 221 -222 0
-72 -221 222 0
72 221 -223 0
72 -221 223 0
-72 221 223 0
-72 -221 -223 0
220 222 -224 0
220 -222 224 0
-220 222 224 0
-220 -222 -224 0
87 101 -225 0
87 -101 -225 0
-87 101 -225 0
-87 -101 225 0
87 101 -226 0
87 -101 226 0
-87 101 226 0
-87 -101 -226 0
73 226 -227 0
73 -226 -227 0
-73 226 -227 0
-73 -226 227 0
73 226 -228 0
73 -226 228 0
-73 226 228 0
-73 -226 -228 0
225 227 -229 0
225 -227 229 0
-225 227 229 0
-225 -227 -229 0
88 102 -230 0
88 -102 -230 0
-88 102 -230 0
-88 -102 230 0
88 102 -231 0
88 -102 231 0
-88 102 231 0
-88 -102 -231 0
74 231 -232 0
74 -231 -232 0
-74 231 -232 0
-74 -231 232 0
74 231 -233 0
74 -231 233 0
-74 231 233 0
-74 -231 -233 0
230 232 -234 0
230 -232 234 0
-230 232 234 0
-230 -232 -234 0
89 103 -235 0
89 -103 -235 0
-89 103 -235 0
-89 -103 235 0
89 103 -236 0
89 -103 236 0
-89 103 236 0
-89 -103 -236 0
75 236 -237 0
75 -236 -237 0
-75 236 -237 0
-75 -236 237 0
75 236 -238 0
75 -236 238 0
-75 236 238 0
-75 -236 -238 0
235 237 -239 0
235 -237 239 0
-235 237 239 0
-235 -237 -239 0
90 104 -240 0
90 -104 -240 0
-90 104 -240 0
-90 -104 240 0
90 104 -241 0
90 -104 241 0
-90 104 241 0
-90 -104 -241 0
76 241 -242 0
76 -241 -242 0
-76 241 -242 0
-76 -241 242 0
76 241 -243 0
76 -241 243 0
-76 241 243 0
-76 -241 -243 0
240 242 -244 0
240 -242 244 0
-240 242 244 0
-240 -242 -244 0
91 105 -245 0
91 -105 -245 0
-91 105 -245 0
-91 -105 245 0
91 105 -246 0
91 -105 246 0
-91 105 246 0
-91 -105 -246 0
77 246 -247 0
77 -246 -247 0
-77 246 -247 0
-77 -246 247 0
77 246 -248 0
77 -246 248 0
-77 246 248 0
-77 -246 -248 0
245 247 -249 0
245 -247 249 0
-245 247 249 0
-245 -247 -249 0
92 106 -250 0
92 -106 -250 0
-92 106 -250 0
-92 -106 250 0
92 106 -251 0
92 -106 251 0
-92 106 251 0
-92 -106 -251 0
78 251 -252 0
78 -251 -252 0
-78 251 -252 0
-78 -251 252 0
78 251 -253 0
78 -251 253 0
-78 251 253 0
-78 -251 -253 0
250 252 -254 0
250 -252 254 0
-250 252 254 0
-250 -252 -254 0
93 107 -255 0
93 -107 -255 0
-93 107 -255 0
-93 -107 255 0
93 107 -256 0
93 -107 256 0
-93 107 256 0
-93 -107 -256 0
79 256 -257 0
79 -256 -257 0
-79 256 -257 0
-79 -256 257 0
79 256 -258 0
79 -256 258 0
-79 256 258 0
-79 -256 -258 0
255 257 -259 0
255 -257 259 0
-255 257 259 0
-255 -257 -259 0
94 108 -260 0
94 -108 -260 0
-94 108 -260 0
-94 -108 260 0
94 108 -261 0
94 -108 261 0
-94 108 261 0
-94 -108 -261 0
80 261 -262 0
80 -261 -262 0
-80 261 -262 0
-80 -261 262 0
80 261 -263 0
80 -261 263 0
-80 261 263 0
-80 -261 -263 0
260 262 -264 0
260 -262 264 0
-260 262 264 0
-260 -262 -264 0
95 109 -265 0
95 -109 -265 0
-95 109 -265 0
-95 -109 265 0
95 109 -266 0
95 -109 266 0
-95 109 266 0
-95 -109 -266 0
81 266 -267 0
81 -266 -267 0
-81 266 -267 0
-81 -266 267 0
81 266 -268 0
81 -266 268 0
-81 266 268 0
-81 -266 -268 0
265 267 -269 0
265 -267 269 0
-265 267 269 0
-265 -267 -269 0
96 110 -270 0
96 -110 -270 0
-96 110 -270 0
-96 -110 270 0
96 110 -271 0
96 -110 271 0
-96 110 271 0
-96 -110 -271 0
82 271 -272 0
82 -271 -272 0
-82 271 -272 0
-82 -271 272 0
82 271 -273 0
82 -271 273 0
-82 271 273 0
-82 -271 -273 0
270 272 -274 0
270 -272 274 0
-270 272 274 0
-270 -272 -274 0
97 111 -275 0
97 -111 -275 0
-97 111 -275 0
-97 -111 275 0
97 111 -276 0
97 -111 276 0
-97 111 276 0
-97 -111 -276 0
83 276 -277 0
83 -276 -277 0
-83 276 -277 0
-83 -276 277 0
83 276 -278 0
83 -276 278 0
-83 276 278 0
-83 -276 -278 0
275 277 -279 0
275 -277 279 0
-275 277 279 0
-275 -277 -279 0
98 112 -280 0
98 -112 -280 0
-98 112 -280 0
-98 -112 280 0
98 112 -281 0
98 -112 281 0
-98 112 281 0
-98 -112 -281 0
144 149 -282 0
144 -149 -282 0
-144 149 -282 0
-144 -149 282 0
144 149 -283 0
144 -149 283 0
-144 149 283 0
-144 -149 -283 0
150 154 -284 0
150 -154 -284 0
-150 154 -284 0
-150 -154 284 0
150 154 -285 0
150 -154 285 0
-150 154 285 0
-150 -154 -285 0
155 159 -286 0
155 -159 -286 0
-155 159 -286 0
-155 -159 286 0
155 159 -287 0
155 -159 287 0
-155 159 287 0
-155 -159 -287 0
213 164 -288 0
213 -164 -288 0
-213 164 -288 0
-213 -164 288 0
213 164 -289 0
213 -164 289 0
-213 164 289 0
-213 -164 -289 0
160 289 -290 0
160 -289 -290 0
-160 289 -290 0
-160 -289 290 0
160 289 -291 0
160 -289 291 0
-160 289 291 0
-160 -289 -291 0
288 290 -292 0
288 -290 292 0
-288 290 292 0
-288 -290 -292 0
219 169 -293 0
219 -169 -293 0
-219 169 -293 0
-219 -169 293 0
219 169 -294 0
219 -169 294 0
-219 169 294 0
-219 -169 -294 0
165 294 -295 0
165 -294 -295 0
-165 294 -295 0
-165 -294 295 0
165 294 -296 0
165 -294 296 0
-165 294 296 0
-165 -294 -296 0
293 295 -297 0
293 -295 297 0
-293 295 297 0
-293 -295 -297 0
224 174 -298 0
224 -174 -298 0
-224 174 -298 0
-224 -174 298 0
224 174 -299 0
224 -174 299 0
-224 174 299 0
-224 -174 -299 0
170 299 -300 0
170 -299 -300 0
-170 299 -300 0
-170 -299 300 0
170 299 -301 0
170 -299 301 0
-170 299 301 0
-170 -299 -301 0
298 300 -302 0
298 -300 302 0
-298 300 302 0
-298 -300 -302 0
229 179 -303 0
229 -179 -303 0
-229 179 -303 0
-229 -179 303 0
229 179 -304 0
229 -179 304 0
-229 179 304 0
-229 -179 -304 0
175 304 -305 0
175 -304 -305 0
-175 304 -305 0
-175 -304 305 0
175 304 -306 0
175 -304 306 0
-175 304 306 0
-175 -304 -306 0
303 305 -307 0
303 -305 307 0
-303 305 307 0
-303 -305 -307 0
234 184 -308 0
234 -184 -308 0
-234 184 -308 0
-234 -184 308 0
234 184 -309 0
234 -184 309 0
-234 184 309 0
-234 -184 -309 0
180 309 -310 0
180 -309 -310 0
-180 309 -310 0
-180 -309 310 0
180 309 -311 0
180 -309 311 0
-180 309 311 0
-180 -309 -311 0
308 310 -312 0
308 -310 312 0
-308 310 312 0
-308 -310 -312 0
239 189 -313 0
239 -189 -313 0
-239 189 -313 0
-239 -189 313 0
239 189 -314 0
239 -189 314 0
-239 189 314 0
-239 -189 -314 0
185 314 -315 0
185 -314 -315 0
-185 314 -315 0
-185 -314 315 0
185 314 -316 0
185 -314 316 0
-185 314 316 0
-185 -314 -316 0
313 315 -317 0
313 -315 317 0
-313 315 317 0
-313 -315 -317 0
244 194 -318 0
244 -194 -318 0
-244 194 -318 0
-244 -194 318 0
244 194 -319 0
244 -194 319 0
-244 194 319 0
-244 -194 -319 0
190 319 -320 0
190 -319 -320 0
-190 319 -320 0
-190 -319 320 0
190 319 -321 0
190 -319 321 0
-190 319 321 0
-190 -319 -321 0
318 320 -322 0
318 -320 322 0
-318 320 322 0
-318 -320 -322 0
249 199 -323 0
249 -199 -323 0
-249 199 -323 0
-249 -199 323 0
249 199 -324 0
249 -199 324 0
-249 199 324 0
-249 -199 -324 0
195 324 -325 0
195 -324 -325 0
-195 324 -325 0
-195 -324 325 0
195 324 -326 0
195 -324 326 0
-195 324 326 0
-195 -324 -326 0
323 325 -327 0
323 -325 327 0
-323 325 327 0
-323 -325 -327 0
254 204 -328 0
254 -204 -328 0
-254 204 -328 0
-254 -204 328 0
254 204 -329 0
254 -204 329 0
-254 204 329 0
-254 -204 -329 0
200 329 -330 0
200 -329 -330 0
-200 329 -330 0
-200 -329 330 0
200 329 -331 0
200 -329 331 0
-200 329 331 0
-200 -329 -331 0
328 330 -332 0
328 -330 332 0
-328 330 332 0
-328 -330 -332 0
259 209 -333 0
259 -209 -333 0
-259 209 -333 0
-259 -209 333 0
259 209 -334 0
259 -209 334 0
-259 209 334 0
-259 -209 -334 0
205 334 -335 0
205 -334 -335 0
-205 334 -335 0
-205 -334 335 0
205 334 -336 0
205 -334 336 0
-205 334 336 0
-205 -334 -336 0
333 335 -337 0
333 -335 337 0
-333 335 337 0
-333 -335 -337 0
264 212 -338 0
264 -212 -338 0
-264 212 -338 0
-264 -212 338 0
264 212 -339 0
264 -212 339 0
-264 212 339 0
-264 -212 -339 0
210 339 -340 0
210 -339 -340 0
-210 339 -340 0
-210 -339 340 0
210 339 -341 0
210 -339 341 0
-210 339 341 0
-210 -339 -341 0
338 340 -342 0
338 -340 342 0
-338 340 342 0
-338 -340 -342 0
269 68 -343 0
269 -68 -343 0
-269 68 -343 0
-269 -68 343 0
269 68 -344 0
269 -68 344 0
-269 68 344 0
-269 -68 -344 0
211 344 -345 0
211 -344 -345 0
-211 344 -345 0
-211 -344 345 0
211 344 -346 0
211 -344 346 0
-211 344 346 0
-211 -344 -346 0
343 345 -347 0
343 -345 347 0
-343 345 347 0
-343 -345 -347 0
223 114 -348 0
223 -114 -348 0
-223 114 -348 0
-223 -114 348 0
223 114 -349 0
223 -114 349 0
-223 114 349 0
-223 -114 -349 0
115 129 -350 0
115 -129 -350 0
-115 129 -350 0
-115 -129 350 0
115 129 -351 0
115 -129 351 0
-115 129 351 0
-115 -129 -351 0
228 351 -352 0
228 -351 -352 0
-228 351 -352 0
-228 -351 352 0
228 351 -353 0
228 -351 353 0
-228 351 353 0
-228 -351 -353 0
350 352 -354 0
350 -352 354 0
-350 352 354 0
-350 -352 -354 0
116 130 -355 0
116 -130 -355 0
-116 130 -355 0
-116 -130 355 0
116 130 -356 0
116 -130 356 0
-116 130 356 0
-116 -130 -356 0
233 356 -357 0
233 -356 -357 0
-233 356 -357 0
-233 -356 357 0
233 356 -358 0
233 -356 358 0
-233 356 358 0
-233 -356 -358 0
355 357 -359 0
355 -357 359 0
-355 357 359 0
-355 -357 -359 0
117 131 -360 0
117 -131 -360 0
-117 131 -360 0
-117 -131 360 0
117 131 -361 0
117 -131 361 0
-117 131 361 0
-117 -131 -361 0
238 361 -362 0
238 -361 -362 0
-238 361 -362 0
-238 -361 362 0
238 361 -363 0
238 -361 363 0
-238 361 363 0
-238 -361 -363 0
360 362 -364 0
360 -362 364 0
-360 362 364 0
-360 -362 -364 0
118 132 -365 0
118 -132 -365 0
-118 132 -365 0
-118 -132 365 0
118 132 -366 0
118 -132 366 0
-118 132 366 0
-118 -132 -366 0
243 366 -367 0
243 -366 -367 0
-243 366 -367 0
-243 -366 367 0
243 366 -368 0
243 -366 368 0
-243 366 368 0
-243 -366 -368 0
365 367 -369 0
365 -367 369 0
-365 367 369 0
-365 -367 -369 0
119 133 -370 0
119 -133 -370 0
-119 133 -370 0
-119 -133 370 0
119 133 -371 0
119 -133 371 0
-119 133 371 0
-119 -133 -371 0
248 371 -372 0
248 -371 -372 0
-248 371 -372 0
-248 -371 372 0
248 371 -373 0
248 -371 373 0
-248 371 373 0
-248 -371 -373 0
370 372 -374 0
370 -372 374 0
-370 372 374 0
-370 -372 -374 0
120 134 -375 0
120 -134 -375 0
-120 134 -375 0
-120 -134 375 0
120 134 -376 0
120 -134 376 0
-120 134 376 0
-120 -134 -376 0
253 376 -377 0
253 -376 -377 0
-253 376 -377 0
-253 -376 377 0
253 376 -378 0
253 -376 378 0
-253 376 378 0
-253 -376 -378 0
375 377 -379 0
375 -377 379 0
-375 377 379 0
-375 -377 -379 0
121 135 -380 0
121 -135 -380 0
-121 135 -380 0
-121 -135 380 0
121 135 -381 0
121 -135 381 0
-121 135 381 0
-121 -135 -381 0
258 381 -382 0
258 -381 -382 0
-258 381 -382 0
-258 -381 382 0
258 381 -383 0
258 -381 383 0
-258 381 383 0
-258 -381 -383 0
380 382 -384 0
380 -382 384 0
-380 382 384 0
-380 -382 -384 0
122 136 -385 0
122 -136 -385 0
