c Problem SAT 4+ 23
p cnf 293 1130
-1 -13 42 0
2 13 -43 0
2 -13 -43 0
-2 13 -43 0
-2 -13 43 0
3 13 -44 0
3 -13 -44 0
-3 13 -44 0
-3 -13 44 0
4 13 -45 0
4 -13 -45 0
-4 13 -45 0
-4 -13 45 0
5 13 -46 0
5 -13 -46 0
-5 13 -46 0
-5 -13 46 0
6 13 -47 0
6 -13 -47 0
-6 13 -47 0
-6 -13 47 0
7 13 -48 0
7 -13 -48 0
-7 13 -48 0
-7 -13 48 0
8 13 -49 0
8 -13 -49 0
-8 13 -49 0
-8 -13 49 0
9 13 -50 0
9 -13 -50 0
-9 13 -50 0
-9 -13 50 0
1 14 -51 0
1 -14 -51 0
-1 14 -51 0
-1 -14 51 0
2 14 -52 0
2 -14 -52 0
-2 14 -52 0
-2 -14 52 0
3 14 -53 0
3 -14 -53 0
-3 14 -53 0
-3 -14 53 0
4 14 -54 0
4 -14 -54 0
-4 14 -54 0
-4 -14 54 0
5 14 -55 0
5 -14 -55 0
-5 14 -55 0
-5 -14 55 0
6 14 -56 0
6 -14 -56 0
-6 14 -56 0
-6 -14 56 0
7 14 -57 0
7 -14 -57 0
-7 14 -57 0
-7 -14 57 0
8 14 -58 0
8 -14 -58 0
-8 14 -58 0
-8 -14 58 0
9 14 -59 0
9 -14 -59 0
-9 14 -59 0
-9 -14 59 0
16 24 -60 0
16 -24 -60 0
-16 24 -60 0
-16 -24 60 0
16 24 -61 0
16 -24 61 0
-16 24 61 0
-16 -24 -61 0
25 33 -62 0
25 -33 -62 0
-25 33 -62 0
-25 -33 62 0
25 33 -63 0
25 -33 63 0
-25 33 63 0
-25 -33 -63 0
17 63 -64 0
17 -63 -64 0
-17 63 -64 0
-17 -63 64 0
17 63 -65 0
17 -63 65 0
-17 63 65 0
-17 -63 -65 0
62 64 -66 0
62 -64 66 0
-62 64 66 0
-62 -64 -66 0
26 34 -67 0
26 -34 -67 0
-26 34 -67 0
-26 -34 67 0
26 34 -68 0
26 -34 68 0
-26 34 68 0
-26 -34 -68 0
18 68 -69 0
18 -68 -69 0
-18 68 -69 0
-18 -68 69 0
18 68 -70 0
18 -68 70 0
-18 68 70 0
-18 -68 -70 0
67 69 -71 0
67 -69 71 0
-67 69 71 0
-67 -69 -71 0
27 35 -72 0
27 -35 -72 0
-27 35 -72 0
-27 -35 72 0
27 35 -73 0
27 -35 73 0
-27 35 73 0
-27 -35 -73 0
19 73 -74 0
19 -73 -74 0
-19 73 -74 0
-19 -73 74 0
19 73 -75 0
19 -73 75 0
-19 73 75 0
-19 -73 -75 0
72 74 -76 0
72 -74 76 0
-72 74 76 0
-72 -74 -76 0
28 36 -77 0
28 -36 -77 0
-28 36 -77 0
-28 -36 77 0
28 36 -78 0
28 -36 78 0
-28 36 78 0
-28 -36 -78 0
20 78 -79 0
20 -78 -79 0
-20 78 -79 0
-20 -78 79 0
20 78 -80 0
20 -78 80 0
-20 78 80 0
-20 -78 -80 0
77 79 -81 0
77 -79 81 0
-77 79 81 0
-77 -79 -81 0
29 37 -82 0
29 -37 -82 0
-29 37 -82 0
-29 -37 82 0
29 37 -83 0
29 -37 83 0
-29 37 83 0
-29 -37 -83 0
21 83 -84 0
21 -83 -84 0
-21 83 -84 0
-21 -83 84 0
21 83 -85 0
21 -83 85 0
-21 83 85 0
-21 -83 -85 0
82 84 -86 0
82 -84 86 0
-82 84 86 0
-82 -84 -86 0
30 38 -87 0
30 -38 -87 0
-30 38 -87 0
-30 -38 87 0
30 38 -88 0
30 -38 88 0
-30 38 88 0
-30 -38 -88 0
22 88 -89 0
22 -88 -89 0
-22 88 -89 0
-22 -88 89 0
22 88 -90 0
22 -88 90 0
-22 88 90 0
-22 -88 -90 0
87 89 -91 0
87 -89 91 0
-87 89 91 0
-87 -89 -91 0
31 39 -92 0
31 -39 -92 0
-31 39 -92 0
-31 -39 92 0
31 39 -93 0
31 -39 93 0
-31 39 93 0
-31 -39 -93 0
23 93 -94 0
23 -93 -94 0
-23 93 -94 0
-23 -93 94 0
23 93 -95 0
23 -93 95 0
-23 93 95 0
-23 -93 -95 0
92 94 -96 0
92 -94 96 0
-92 94 96 0
-92 -94 -96 0
32 40 -97 0
32 -40 -97 0
-32 40 -97 0
-32 -40 97 0
32 40 -98 0
32 -40 98 0
-32 40 98 0
-32 -40 -98 0
60 65 -99 0
60 -65 -99 0
-60 65 -99 0
-60 -65 99 0
60 65 -100 0
60 -65 100 0
-60 65 100 0
-60 -65 -100 0
70 42 -101 0
70 -42 -101 0
-70 42 -101 0
-70 -42 101 0
70 42 -102 0
70 -42 102 0
-70 42 102 0
-70 -42 -102 0
66 102 -103 0
66 -102 -103 0
-66 102 -103 0
-66 -102 103 0
66 102 -104 0
66 -102 104 0
-66 102 104 0
-66 -102 -104 0
101 103 -105 0
101 -103 105 0
-101 103 105 0
-101 -103 -105 0
75 43 -106 0
75 -43 -106 0
-75 43 -106 0
-75 -43 106 0
75 43 -107 0
75 -43 107 0
-75 43 107 0
-75 -43 -107 0
71 107 -108 0
71 -107 -108 0
-71 107 -108 0
-71 -107 108 0
71 107 -109 0
71 -107 109 0
-71 107 109 0
-71 -107 -109 0
106 108 -110 0
106 -108 110 0
-106 108 110 0
-106 -108 -110 0
80 44 -111 0
80 -44 -111 0
-80 44 -111 0
-80 -44 111 0
80 44 -112 0
80 -44 112 0
-80 44 112 0
-80 -44 -112 0
76 112 -113 0
76 -112 -113 0
-76 112 -113 0
-76 -112 113 0
76 112 -114 0
76 -112 114 0
-76 112 114 0
-76 -112 -114 0
111 113 -115 0
111 -113 115 0
-111 113 115 0
-111 -113 -115 0
85 45 -116 0
85 -45 -116 0
-85 45 -116 0
-85 -45 116 0
85 45 -117 0
85 -45 117 0
-85 45 117 0
-85 -45 -117 0
81 117 -118 0
81 -117 -118 0
-81 117 -118 0
-81 -117 118 0
81 117 -119 0
81 -117 119 0
-81 117 119 0
-81 -117 -119 0
116 118 -120 0
116 -118 120 0
-116 118 120 0
-116 -118 -120 0
90 46 -121 0
90 -46 -121 0
-90 46 -121 0
-90 -46 121 0
90 46 -122 0
90 -46 122 0
-90 46 122 0
-90 -46 -122 0
86 122 -123 0
86 -122 -123 0
-86 122 -123 0
-86 -122 123 0
86 122 -124 0
86 -122 124 0
-86 122 124 0
-86 -122 -124 0
121 123 -125 0
121 -123 125 0
-121 123 125 0
-121 -123 -125 0
95 47 -126 0
95 -47 -126 0
-95 47 -126 0
-95 -47 126 0
95 47 -127 0
95 -47 127 0
-95 47 127 0
-95 -47 -127 0
91 127 -128 0
91 -127 -128 0
-91 127 -128 0
-91 -127 128 0
91 127 -129 0
91 -127 129 0
-91 127 129 0
-91 -127 -129 0
126 128 -130 0
126 -128 130 0
-126 128 130 0
-126 -128 -130 0
98 48 -131 0
98 -48 -131 0
-98 48 -131 0
-98 -48 131 0
98 48 -132 0
98 -48 132 0
-98 48 132 0
-98 -48 -132 0
96 132 -133 0
96 -132 -133 0
-96 132 -133 0
-96 -132 133 0
96 132 -134 0
96 -132 134 0
-96 132 134 0
-96 -132 -134 0
131 133 -135 0
131 -133 135 0
-131 133 135 0
-131 -133 -135 0
41 49 -136 0
41 -49 -136 0
-41 49 -136 0
-41 -49 136 0
41 49 -137 0
41 -49 137 0
-41 49 137 0
-41 -49 -137 0
97 137 -138 0
97 -137 -138 0
-97 137 -138 0
-97 -137 138 0
97 137 -139 0
97 -137 139 0
-97 137 139 0
-97 -137 -139 0
136 138 -140 0
136 -138 140 0
-136 138 140 0
-136 -138 -140 0
99 104 -141 0
99 -104 -141 0
-99 104 -141 0
-99 -104 141 0
99 104 -142 0
99 -104 142 0
-99 104 142 0
-99 -104 -142 0
109 51 -143 0
109 -51 -143 0
-109 51 -143 0
-109 -51 143 0
109 51 -144 0
109 -51 144 0
-109 51 144 0
-109 -51 -144 0
105 144 -145 0
105 -144 -145 0
-105 144 -145 0
-105 -144 145 0
105 144 -146 0
105 -144 146 0
-105 144 146 0
-105 -144 -146 0
143 145 -147 0
143 -145 147 0
-143 145 147 0
-143 -145 -147 0
114 52 -148 0
114 -52 -148 0
-114 52 -148 0
-114 -52 148 0
114 52 -149 0
114 -52 149 0
-114 52 149 0
-114 -52 -149 0
110 149 -150 0
110 -149 -150 0
-110 149 -150 0
-110 -149 150 0
110 149 -151 0
110 -149 151 0
-110 149 151 0
-110 -149 -151 0
148 150 -152 0
148 -150 152 0
-148 150 152 0
-148 -150 -152 0
119 53 -153 0
119 -53 -153 0
-119 53 -153 0
-119 -53 153 0
119 53 -154 0
119 -53 154 0
-119 53 154 0
-119 -53 -154 0
115 154 -155 0
115 -154 -155 0
-115 154 -155 0
-115 -154 155 0
115 154 -156 0
115 -154 156 0
-115 154 156 0
-115 -154 -156 0
153 155 -157 0
153 -155 157 0
-153 155 157 0
-153 -155 -157 0
124 54 -158 0
124 -54 -158 0
-124 54 -158 0
-124 -54 158 0
124 54 -159 0
124 -54 159 0
-124 54 159 0
-124 -54 -159 0
120 159 -160 0
120 -159 -160 0
-120 159 -160 0
-120 -159 160 0
120 159 -161 0
120 -159 161 0
-120 159 161 0
-120 -159 -161 0
158 160 -162 0
158 -160 162 0
-158 160 162 0
-158 -160 -162 0
129 55 -163 0
129 -55 -163 0
-129 55 -163 0
-129 -55 163 0
129 55 -164 0
129 -55 164 0
-129 55 164 0
-129 -55 -164 0
125 164 -165 0
125 -164 -165 0
-125 164 -165 0
-125 -164 165 0
125 164 -166 0
125 -164 166 0
-125 164 166 0
-125 -164 -166 0
163 165 -167 0
163 -165 167 0
-163 165 167 0
-163 -165 -167 0
134 56 -168 0
134 -56 -168 0
-134 56 -168 0
-134 -56 168 0
134 56 -169 0
134 -56 169 0
-134 56 169 0
-134 -56 -169 0
130 169 -170 0
130 -169 -170 0
-130 169 -170 0
-130 -169 170 0
130 169 -171 0
130 -169 171 0
-130 169 171 0
-130 -169 -171 0
168 170 -172 0
168 -170 172 0
-168 170 172 0
-168 -170 -172 0
139 57 -173 0
139 -57 -173 0
-139 57 -173 0
-139 -57 173 0
139 57 -174 0
139 -57 174 0
-139 57 174 0
-139 -57 -174 0
135 174 -175 0
135 -174 -175 0
-135 174 -175 0
-135 -174 175 0
135 174 -176 0
135 -174 176 0
-135 174 176 0
-135 -174 -176 0
173 175 -177 0
173 -175 177 0
-173 175 177 0
-173 -175 -177 0
50 58 -178 0
50 -58 -178 0
-50 58 -178 0
-50 -58 178 0
50 58 -179 0
50 -58 179 0
-50 58 179 0
-50 -58 -179 0
140 179 -180 0
140 -179 -180 0
-140 179 -180 0
-140 -179 180 0
140 179 -181 0
140 -179 181 0
-140 179 181 0
-140 -179 -181 0
178 180 -182 0
178 -180 182 0
-178 180 182 0
-178 -180 -182 0
141 146 -183 0
141 -146 183 0
-141 146 183 0
-141 -146 -183 0
141 146 -184 0
141 -146 -184 0
-141 146 -184 0
-141 -146 184 0
141 146 -185 0
141 -146 185 0
-141 146 185 0
-141 -146 185 0
147 151 -186 0
147 -151 186 0
-147 151 186 0
-147 -151 -186 0
147 151 -187 0
147 -151 -187 0
-147 151 -187 0
-147 -151 187 0
147 151 -188 0
147 -151 188 0
-147 151 188 0
-147 -151 188 0
152 156 -189 0
152 -156 189 0
-152 156 189 0
-152 -156 -189 0
152 156 -190 0
152 -156 -190 0
-152 156 -190 0
-152 -156 190 0
152 156 -191 0
152 -156 191 0
-152 156 191 0
-152 -156 191 0
157 161 -192 0
157 -161 192 0
-157 161 192 0
-157 -161 -192 0
157 161 -193 0
157 -161 -193 0
-157 161 -193 0
-157 -161 193 0
157 161 -194 0
157 -161 194 0
-157 161 194 0
-157 -161 194 0
162 166 -195 0
162 -166 195 0
-162 166 195 0
-162 -166 -195 0
162 166 -196 0
162 -166 -196 0
-162 166 -196 0
-162 -166 196 0
162 166 -197 0
162 -166 197 0
-162 166 197 0
-162 -166 197 0
167 171 -198 0
167 -171 198 0
-167 171 198 0
-167 -171 -198 0
167 171 -199 0
167 -171 -199 0
-167 171 -199 0
-167 -171 199 0
167 171 -200 0
167 -171 200 0
-167 171 200 0
-167 -171 200 0
172 176 -201 0
172 -176 201 0
-172 176 201 0
-172 -176 -201 0
172 176 -202 0
172 -176 -202 0
-172 176 -202 0
-172 -176 202 0
172 176 -203 0
172 -176 203 0
-172 176 203 0
-172 -176 203 0
177 181 -204 0
177 -181 204 0
-177 181 204 0
-177 -181 -204 0
177 181 -205 0
177 -181 -205 0
-177 181 -205 0
-177 -181 205 0
177 181 -206 0
177 -181 206 0
-177 181 206 0
-177 -181 206 0
182 59 -207 0
182 -59 207 0
-182 59 207 0
-182 -59 -207 0
182 59 -208 0
182 -59 -208 0
-182 59 -208 0
-182 -59 208 0
182 59 -209 0
182 -59 209 0
-182 59 209 0
-182 -59 209 0
15 61 -210 0
15 -61 210 0
-15 -61 -210 0
-15 61 210 0
61 15 -211 0
61 -15 -211 0
-61 15 -211 0
-61 -15 211 0
100 142 -212 0
100 -142 212 0
-100 -142 -212 0
-100 142 212 0
142 100 -213 0
142 -100 -213 0
-142 100 -213 0
-142 -100 213 0
184 186 -214 0
184 -186 214 0
-184 -186 -214 0
-184 186 214 0
185 186 -215 0
185 -186 215 0
-185 -186 -215 0
-185 186 215 0
187 188 -216 0
187 -188 216 0
-187 188 216 0
-187 -188 216 0
187 185 -217 0
187 -185 217 0
-187 185 217 0
-187 -185 217 0
216 217 -218 0
216 -217 -218 0
-216 217 -218 0
-216 -217 218 0
187 188 -219 0
187 -188 219 0
-187 188 219 0
-187 -188 219 0
187 184 -220 0
187 -184 220 0
-187 184 220 0
-187 -184 220 0
219 220 -221 0
219 -220 -221 0
-219 220 -221 0
-219 -220 221 0
190 192 -222 0
190 -192 222 0
-190 -192 -222 0
-190 192 222 0
191 192 -223 0
191 -192 223 0
-191 -192 -223 0
-191 192 223 0
193 194 -224 0
193 -194 224 0
-193 194 224 0
-193 -194 224 0
193 191 -225 0
193 -191 225 0
-193 191 225 0
-193 -191 225 0
224 225 -226 0
224 -225 -226 0
-224 225 -226 0
-224 -225 226 0
193 194 -227 0
193 -194 227 0
-193 194 227 0
-193 -194 227 0
193 190 -228 0
193 -190 228 0
-193 190 228 0
-193 -190 228 0
227 228 -229 0
227 -228 -229 0
-227 228 -229 0
-227 -228 229 0
196 198 -230 0
196 -198 230 0
-196 -198 -230 0
-196 198 230 0
197 198 -231 0
197 -198 231 0
-197 -198 -231 0
-197 198 231 0
199 200 -232 0
199 -200 232 0
-199 200 232 0
-199 -200 232 0
199 197 -233 0
199 -197 233 0
-199 197 233 0
-199 -197 233 0
232 233 -234 0
232 -233 -234 0
-232 233 -234 0
-232 -233 234 0
199 200 -235 0
199 -200 235 0
-199 200 235 0
-199 -200 235 0
199 196 -236 0
199 -196 236 0
-199 196 236 0
-199 -196 236 0
235 236 -237 0
235 -236 -237 0
-235 236 -237 0
-235 -236 237 0
202 204 -238 0
202 -204 238 0
-202 -204 -238 0
-202 204 238 0
203 204 -239 0
203 -204 239 0
-203 -204 -239 0
-203 204 239 0
205 206 -240 0
205 -206 240 0
-205 206 240 0
-205 -206 240 0
205 203 -241 0
205 -203 241 0
-205 203 241 0
-205 -203 241 0
240 241 -242 0
240 -241 -242 0
-240 241 -242 0
-240 -241 242 0
205 206 -243 0
205 -206 243 0
-205 206 243 0
-205 -206 243 0
205 202 -244 0
205 -202 244 0
-205 202 244 0
-205 -202 244 0
243 244 -245 0
243 -244 -245 0
-243 244 -245 0
-243 -244 245 0
211 100 -246 0
211 -100 246 0
-211 -100 -246 0
-211 100 246 0
211 142 -247 0
211 -142 247 0
-211 212 -247 0
-211 -212 247 0
213 211 -248 0
213 -211 -248 0
-213 211 -248 0
-213 -211 248 0
221 189 -249 0
221 -189 249 0
-221 -189 -249 0
-221 189 249 0
221 222 -250 0
221 -222 250 0
-221 223 -250 0
-221 -223 250 0
218 189 -251 0
218 -189 251 0
-218 -189 -251 0
-218 189 251 0
218 222 -252 0
218 -222 252 0
-218 223 -252 0
-218 -223 252 0
229 226 -253 0
229 -226 253 0
-229 226 253 0
-229 -226 253 0
229 218 -254 0
229 -218 254 0
-229 218 254 0
-229 -218 254 0
253 254 -255 0
253 -254 -255 0
-253 254 -255 0
-253 -254 255 0
229 226 -256 0
229 -226 256 0
-229 226 256 0
-229 -226 256 0
229 221 -257 0
229 -221 257 0
-229 221 257 0
-229 -221 257 0
256 257 -258 0
256 -257 -258 0
-256 257 -258 0
-256 -257 258 0
237 201 -259 0
237 -201 259 0
-237 -201 -259 0
-237 201 259 0
237 238 -260 0
237 -238 260 0
-237 239 -260 0
-237 -239 260 0
234 201 -261 0
234 -201 261 0
-234 -201 -261 0
-234 201 261 0
234 238 -262 0
234 -238 262 0
-234 239 -262 0
-234 -239 262 0
245 242 -263 0
245 -242 263 0
-245 242 263 0
-245 -242 263 0
245 234 -264 0
245 -234 264 0
-245 234 264 0
-245 -234 264 0
263 264 -265 0
263 -264 -265 0
-263 264 -265 0
-263 -264 265 0
245 242 -266 0
245 -242 266 0
-245 242 266 0
-245 -242 266 0
245 237 -267 0
245 -237 267 0
-245 237 267 0
-245 -237 267 0
266 267 -268 0
266 -267 -268 0
-266 267 -268 0
-266 -267 268 0
248 183 -269 0
248 -183 269 0
-248 -183 -269 0
-248 183 269 0
248 214 -270 0
248 -214 270 0
-248 215 -270 0
-248 -215 270 0
248 249 -271 0
248 -249 271 0
-248 251 -271 0
-248 -251 271 0
248 250 -272 0
248 -250 272 0
-248 252 -272 0
-248 -252 272 0
258 255 -273 0
258 -255 273 0
-258 255 273 0
-258 -255 273 0
258 248 -274 0
258 -248 274 0
-258 248 274 0
-258 -248 274 0
273 274 -275 0
273 -274 -275 0
-273 274 -275 0
-273 -274 275 0
258 255 -276 0
258 -255 276 0
-258 255 276 0
-258 -255 276 0
276 258 -277 0
276 -258 -277 0
-276 258 -277 0
-276 -258 277 0
268 207 -278 0
268 -207 278 0
-268 -207 -278 0
-268 207 278 0
268 208 -279 0
268 -208 279 0
-268 209 -279 0
-268 -209 279 0
265 207 -280 0
265 -207 280 0
-265 -207 -280 0
-265 207 280 0
265 208 -281 0
265 -208 281 0
-265 209 -281 0
-265 -209 281 0
277 195 -282 0
277 -195 282 0
-277 -195 -282 0
-277 195 282 0
277 230 -283 0
277 -230 283 0
-277 231 -283 0
-277 -231 283 0
277 259 -284 0
277 -259 284 0
-277 261 -284 0
-277 -261 284 0
277 260 -285 0
277 -260 285 0
-277 262 -285 0
-277 -262 285 0
277 278 -286 0
277 -278 286 0
-277 280 -286 0
-277 -280 286 0
277 279 -287 0
277 -279 287 0
-277 281 -287 0
-277 -281 287 0
275 195 -288 0
275 -195 288 0
-275 -195 -288 0
-275 195 288 0
275 230 -289 0
275 -230 289 0
-275 231 -289 0
-275 -231 289 0
275 259 -290 0
275 -259 290 0
-275 261 -290 0
-275 -261 290 0
275 260 -291 0
275 -260 291 0
-275 262 -291 0
-275 -262 291 0
275 278 -292 0
275 -278 292 0
-275 280 -292 0
-275 -280 292 0
275 279 -293 0
275 -279 293 0
-275 281 -293 0
-275 -281 293 0
15 0
-61 0
-100 0
-142 0
183 0
-214 0
-249 0
-250 0
-282 0
283 0
-284 0
-285 0
-286 0
-287 0
